"Path","Tier","Type","Domain","TotalScore","CoreScore","RecommendedScore","QualityScore","StructureScore"
"docs\explanation\design\dataflow-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\explanation\design\multi-factor-screening-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\explanation\design\news-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\reports\audit\mcp-server-governance-retrospective.md","important","reports","ai","95.8","30","20.8","25","20"
"docs\00-meta\doc-file-management-optimization-plan.md","important","meta","project","95.8","30","20.8","25","20"
"docs\explanation\multi-factor-screening-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\explanation\design\data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\explanation\dataflow-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\how-to\pwa-offline-guide.md","important","how-to","project","95.8","30","20.8","25","20"
"docs\explanation\design\迁移风险复盘与应对策略文档.md","important","explanation","project","95.8","30","20.8","25","20"
"docs\explanation\design\v9-code-quality-kanban-20260629.md","important","explanation","qa","95.8","30","20.8","25","20"
"docs\explanation\design\p4-文档去重清单与执行方案.md","important","explanation","project","95.8","30","20.8","25","20"
"docs\explanation\design\tech-debt.md","important","explanation","project","95.8","30","20.8","25","20"
"docs\explanation\design\v6-v9界面设计优化可行性计划.md","important","explanation","project","95.8","30","20.8","25","20"
"docs\explanation\a11y-checklist.md","important","explanation","qa","95.8","30","20.8","25","20"
"docs\explanation\design\analysis-screening-module-dev-plan.md","important","explanation","backend","95.8","30","20.8","25","20"
"docs\explanation\news-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\explanation\adr-005-portalshell-dark-kimi-layout.md","important","explanation","frontend","95.8","30","20.8","25","20"
"docs\reference\refactor-research-pool-rename-plan.md","important","reference","backend","95.8","30","20.8","25","20"
"docs\reference\changelogs\2026-07\pr-7-trade-error-classifier-split-plan.md","important","reference","project","95.8","30","20.8","25","20"
"docs\reference\testing-strategy.md","important","reference","qa","95.8","30","20.8","25","20"
"docs\explanation\regression-suite.md","standard","explanation","qa","95","30","20","25","20"
"docs\reports\retrospectives\e2e-verify-25stocks-plan.md","standard","reports","qa","95","30","20","25","20"
"docs\explanation\design\deprecated-batch3-merge-report.md","standard","explanation","project","95","30","20","25","20"
"docs\reports\retrospectives\2026-07-09-remaining-p1-gaps-fix-plan.md","standard","reports","project","95","30","20","25","20"
"docs\explanation\design\业务能力补充报告_自选股异动_2026-07-09.md","standard","explanation","frontend","95","30","20","25","20"
"docs\explanation\design\v9-strategy-architecture.md","standard","explanation","architecture","95","30","20","25","20"
"docs\explanation\design\stock-selection-strategy.md","standard","explanation","backend","95","30","20","25","20"
"docs\explanation\design\deprecated-batch1-merge-report.md","standard","explanation","project","95","30","20","25","20"
"docs\explanation\design\component-library-guide.md","standard","explanation","frontend","95","30","20","25","20"
"docs\explanation\stock-selection-strategy.md","standard","explanation","backend","95","30","20","25","20"
"docs\reference\changelogs\2026-07\jsdoc-update-summary-20260712.md","standard","reference","project","95","30","20","25","20"
"docs\explanation\design\optimization-summary-report.md","standard","explanation","project","95","30","20","25","20"
"docs\explanation\regression-test-report.md","standard","explanation","qa","95","30","20","25","20"
"docs\explanation\2026-07-05-exception-handling-test-report.md","standard","explanation","qa","95","30","20","25","20"
"docs\explanation\design\databridge改进建议整改报告.md","standard","explanation","data","95","30","20","25","20"
"docs\reference\changelogs\2026-07\pr-5-build-optimization-summary.md","standard","reference","project","95","30","20","25","20"
"docs\reference\test-catalog.md","important","reference","qa","94.8","30","20.8","25","19"
"docs\explanation\adr-001-pure-frontend-architecture.md","important","explanation","architecture","93.8","30","20.8","23","20"
"docs\explanation\adr-008-v6-core-resource-trading-strategy.md","important","explanation","architecture","93.8","30","20.8","23","20"
"docs\explanation\design\数据治理路线图.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\design\踩坑规则门禁指南.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\ai-memory-layer.md","important","explanation","ai","93.8","30","20.8","23","20"
"docs\explanation\A-H-INDEX.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\adr-004-hashrouter-static-hosting.md","important","explanation","architecture","93.8","30","20.8","23","20"
"docs\explanation\b批次高价值孤儿集成状态报告-2026-07-08.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\cabins-overview.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\design\pending-items-backlog-20260704.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\design\ui改善部分检索报告.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\design\v9现有数据资产清单.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\pending-items-backlog-20260704.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\design\06-routing-specs.md","important","explanation","frontend","93.8","30","20.8","23","20"
"docs\00-meta\metadata-governance-phased-plan.md","important","meta","project","93.8","30","20.8","23","20"
"docs\how-to\visual-regression-guide.md","important","how-to","qa","93.8","30","20.8","23","20"
"docs\reference\changelogs\2026-07\pr-8-dedup-plan.md","important","reference","project","93.8","30","20.8","23","20"
"docs\explanation\feedback-loop-spec.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\deprecated-v9-issue-resolution-schedule.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\reference\03-architecture-standards.md","important","reference","architecture","93.8","30","20.8","23","20"
"docs\00-meta\directory-audit-todo.md","important","meta","qa","93.8","30","20.8","23","20"
"docs\explanation\system-architecture.md","standard","explanation","architecture","93","30","20","23","20"
"docs\explanation\design\09-quality-gates.md","standard","explanation","qa","93","30","20","23","20"
"docs\explanation\design\core-scarce-strategy.md","standard","explanation","backend","93","30","20","23","20"
"docs\explanation\state-management.md","standard","explanation","project","93","30","20","23","20"
"docs\explanation\completeness-profile-batch3.md","standard","explanation","project","93","30","20","23","20"
"docs\explanation\design\data-collection-architecture.md","standard","explanation","architecture","93","30","20","23","20"
"docs\explanation\audit-b4-2-test-quality.md","standard","explanation","qa","93","30","20","23","20"
"docs\explanation\design\freshness-alerts.md","standard","explanation","project","93","30","20","23","20"
"docs\explanation\design\hot-momentum-strategy.md","standard","explanation","backend","93","30","20","23","20"
"docs\explanation\design\implementation-governance.md","standard","explanation","project","93","30","20","23","20"
"docs\explanation\design\dual-strategy-gap-analysis.md","standard","explanation","backend","93","30","20","23","20"
"docs\reference\automation-test-plan.md","standard","reference","qa","93","30","20","23","20"
"docs\explanation\design\design-tokens.md","standard","explanation","frontend","93","30","20","23","20"
"docs\explanation\design\2026-06-20-pure-frontend-architecture.md","standard","explanation","architecture","93","30","20","23","20"
"docs\explanation\optimization-plan.md","standard","explanation","project","93","30","20","23","20"
"docs\explanation\design\audit-summary-report.md","standard","explanation","qa","93","30","20","23","20"
"docs\explanation\action-list.md","standard","explanation","project","93","30","20","23","20"
"docs\00-meta\directory-audit-feasibility-plan.md","standard","meta","qa","93","30","20","23","20"
"docs\reference\V9-TEST-CASES.md","standard","reference","qa","93","30","20","23","20"
"docs\explanation\design\ai-center-data-definition.md","standard","explanation","data","93","30","20","23","20"
"docs\explanation\b批次组件集成测试报告-b6-2026-07-08.md","standard","explanation","project","93","30","20","23","20"
"docs\explanation\rbac整合可行性分析与实施计划-2026-07-08.md","standard","explanation","project","93","30","20","23","20"
"docs\explanation\production-release-checklist-SKILL.md","standard","explanation","product","93","30","20","23","20"
"docs\explanation\2026-06-25-v6-migration.md","standard","explanation","architecture","93","30","20","23","20"
"docs\explanation\2026-06-27-dual-strategy-system.md","standard","explanation","backend","93","30","20","23","20"
"docs\reports\audit\test-report-2026-07-12.md","standard","reports","qa","93","30","20","23","20"
"docs\explanation\design\2026-06-27-dual-strategy-system.md","standard","explanation","backend","93","30","20","23","20"
"docs\reports\retrospectives\rectification-follow-up-plan.md","standard","reports","project","93","30","20","23","20"
"docs\explanation\a11y-contrast-report.md","standard","explanation","frontend","93","30","20","23","20"
"docs\explanation\design\automation-test-evaluation.md","standard","explanation","qa","93","30","20","23","20"
"docs\reference\design-tokens.md","standard","reference","frontend","93","30","20","23","20"
"docs\00-meta\directory-structure-audit-report.md","standard","meta","qa","93","30","20","23","20"
"docs\reports\audit\v6-v9-ui-component-comparison-report.md","standard","reports","qa","93","30","20","23","20"
"docs\reports\retrospectives\design-tokens-implementation-report.md","standard","reports","frontend","93","30","20","23","20"
"docs\explanation\data-collection-architecture.md","standard","explanation","architecture","93","30","20","23","20"
"docs\explanation\design\value-bargain-strategy.md","standard","explanation","backend","93","30","20","23","20"
"docs\00-meta\p1-01-llm-management-split-report.md","standard","meta","ai","93","30","20","23","20"
"docs\explanation\design\v6-v9-architecture-audit-plan.md","standard","explanation","architecture","93","30","20","23","20"
"docs\reports\audit\t11-compliance-audit-report.md","standard","reports","qa","93","30","20","23","20"
"docs\00-meta\migration-plan.md","standard","meta","project","93","30","20","23","20"
"docs\reports\audit\mcp-integration-test-report-2026-07-08-v2.md","standard","reports","ai","93","30","20","23","20"
"docs\explanation\design\watchlist-strategy.md","standard","explanation","backend","93","30","20","23","20"
"docs\explanation\design\回滚方案与演练-r03.md","standard","explanation","project","93","30","20","23","20"
"docs\explanation\v9-架构覆盖分析报告.md","standard","explanation","project","93","30","20","23","20"
"docs\reports\retrospectives\2026-07-09-route-registration-gap-report.md","standard","reports","frontend","93","30","20","23","20"
"docs\reports\audit\hardcode-warning-root-cause-analysis.md","standard","reports","qa","93","30","20","23","20"
"docs\reports\retrospectives\dependency-analysis.md","standard","reports","project","93","30","20","23","20"
"docs\explanation\design\widget-integration-checklist.md","standard","explanation","frontend","93","30","20","23","20"
"docs\explanation\vulnerability-scan-report.md","standard","explanation","qa","93","30","20","23","20"
"docs\explanation\design\发布计划与评审-r01.md","standard","explanation","project","93","30","20","23","20"
"docs\explanation\complexity-redlines.md","standard","explanation","architecture","93","30","20","23","20"
"docs\explanation\component-deprecation-policy.md","standard","explanation","frontend","93","30","20","23","20"
"docs\reports\audit\color-remediation-summary-report-20260703.md","standard","reports","qa","93","30","20","23","20"
"docs\reports\release-management\buildscoredocdiff-rollback-plan.md","standard","reports","backend","93","30","20","23","20"
"docs\explanation\v9-strategy-architecture.md","standard","explanation","architecture","93","30","20","23","20"
"docs\explanation\design-tokens.md","standard","explanation","frontend","93","30","20","23","20"
"docs\reports\audit\audit-warning-report.md","standard","reports","qa","93","30","20","23","20"
"docs\explanation\design\ui-design-system.md","standard","explanation","frontend","93","30","20","23","20"
"docs\reports\audit\debug-output-cabin-not-rendering.md","standard","reports","qa","93","30","20","23","20"
"docs\reports\audit\batch-b-input-audit.md","standard","reports","qa","93","30","20","23","20"
"docs\explanation\design\data-dictionary-index.md","important","explanation","data","92.8","30","20.8","22","20"
"docs\explanation\adr-007-screening-signal-persistence-review.md","important","explanation","architecture","92.8","30","20.8","22","20"
"docs\explanation\design\04-ui-ux-specs.md","important","explanation","frontend","92.8","30","20.8","22","20"
"docs\reference\release-notes.md","important","reference","project","92.8","30","20.8","22","20"
"docs\explanation\design\data-flow-spec.md","important","explanation","data","92.8","30","20.8","22","20"
"docs\explanation\data-layer-overview.md","important","explanation","data","92.8","30","20.8","23","19"
"docs\explanation\design\deprecated-doc-sync-gap-list.md","important","explanation","project","92.8","30","20.8","22","20"
"docs\how-to\testing\testing-strategy.md","important","how-to","qa","92.8","30","20.8","22","20"
"docs\how-to\FILE-MANAGEMENT-GUIDE.md","important","how-to","project","92.8","30","20.8","22","20"
"docs\reports\retrospectives\mcp-module-status.md","standard","reports","ai","92","30","20","22","20"
"docs\reports\audit\test-coverage-comparison-v2.2.1.md","standard","reports","qa","92","30","20","22","20"
"docs\reports\changelogs\pr-8-dedup-audit-report.md","standard","reports","qa","92","30","20","22","20"
"docs\reports\retrospectives\2026-07-09-p0-p1-fix-code-plan.md","standard","reports","project","92","30","20","22","20"
"docs\reports\changelogs\pr-5-build-optimization-summary.md","standard","reports","project","92","30","20","22","20"
"docs\explanation\design\input-cabin-spec.md","important","explanation","project","91.9","30","22.9","25","14"
"docs\explanation\ui-only-implementation-summary.md","important","explanation","frontend","91.9","30","22.9","25","14"
"docs\explanation\design\ui-only-implementation-summary.md","important","explanation","frontend","91.9","30","22.9","25","14"
"docs\reference\v6-cockpit-ui-reference.md","important","reference","frontend","91.9","30","22.9","25","14"
"docs\explanation\weekly-check-2026-06-30.md","important","explanation","project","91.8","30","20.8","21","20"
"docs\reference\analysis-cabin-spec.md","important","reference","project","91.8","30","20.8","25","16"
"docs\reference\cockpit\data-definition.md","important","reference","data","91.8","30","20.8","25","16"
"docs\00-meta\FILE-MANAGEMENT-GUIDE-cleanup-decisions.md","important","meta","project","91.8","30","20.8","25","16"
"docs\00-meta\V9-文档治理修复行动计划.md","important","meta","project","91.8","30","20.8","25","16"
"docs\00-meta\trae-file-management-review.md","important","meta","project","91.8","30","20.8","21","20"
"docs\00-meta\tag-taxonomy.md","important","meta","project","91.8","30","20.8","21","20"
"docs\reference\chart-integration.md","important","reference","frontend","91.8","30","20.8","25","16"
"docs\reference\rotation-score-spec.md","important","reference","backend","91.8","30","20.8","25","16"
"docs\reference\unified-pool-storage-spec.md","important","reference","data","91.8","30","20.8","25","16"
"docs\reference\trading-cabin-spec.md","important","reference","backend","91.8","30","20.8","25","16"
"docs\reference\dataflow-engine-spec.md","important","reference","backend","91.8","30","20.8","25","16"
"docs\reference\multi-factor-screening-data-definition.md","important","reference","data","91.8","30","20.8","25","16"
"docs\00-meta\development-log.md","important","meta","project","91.8","30","20.8","21","20"
"docs\04-testing\security-test-plan.md","important","reference","qa","91.8","30","20.8","21","20"
"docs\reference\ui设计优化实施计划-详细版.md","important","reference","project","91.8","30","20.8","25","16"
"docs\explanation\ai-center-vue3-examples.md","important","explanation","ai","91.8","30","20.8","21","20"
"docs\explanation\ARCHITECTURE.md","important","explanation","architecture","91.8","30","20.8","21","20"
"docs\reference\changelogs\2026-07\2026-07-05-ui-testing-optimization.md","reference","reference","qa","91.7","30","16.7","25","20"
"docs\reference\data-collection-route-ui-audit.md","reference","reference","data","91.7","30","16.7","25","20"
"docs\reference\changelogs\2026-07\2026-07-14-architecture-governance.md","reference","reference","architecture","91.7","30","16.7","25","20"
"docs\explanation\design\audit-b4-3-performance.md","reference","explanation","qa","91.7","30","16.7","25","20"
"docs\explanation\design\registry-index.md","reference","explanation","project","91.7","30","16.7","25","20"
"docs\explanation\design\code-review-training.md","reference","explanation","project","91.7","30","16.7","25","20"
"docs\explanation\design\doc-cross-check-report.md","reference","explanation","project","91.7","30","16.7","25","20"
"docs\explanation\design\data-collection-route-ui-audit.md","reference","explanation","data","91.7","30","16.7","25","20"
"docs\explanation\design\v6-v9-rectification-feasibility-report.md","reference","explanation","project","91.7","30","16.7","25","20"
"docs\explanation\design\00-readme.md","reference","explanation","project","91.7","30","16.7","25","20"
"docs\explanation\design\v9-acceptance-report.md","reference","explanation","project","91.7","30","16.7","25","20"
"docs\explanation\design\v9-indexeddb-store-schema.md","reference","explanation","data","91.7","30","16.7","25","20"
"docs\explanation\design\v9-remediation-plan.md","reference","explanation","project","91.7","30","16.7","25","20"
"docs\explanation\design\mcp-coupling-analysis-report.md","reference","explanation","ai","91.7","30","16.7","25","20"
"docs\reference\changelogs\2026-07\pr-8-dedup-audit-report.md","reference","reference","qa","91.7","30","16.7","25","20"
"docs\explanation\design\solo-review.md","reference","explanation","project","91.7","30","16.7","25","20"
"docs\how-to\README.md","reference","how-to","project","91.7","30","16.7","25","20"
"docs\reference\2026-07-04-ui-testing-optimization.md","reference","reference","qa","91.7","30","16.7","25","20"
"docs\reports\release-management\README.md","reference","reports","project","91.7","30","16.7","25","20"
"docs\00-meta\deprecated-docs\old-versions\registry-index-v1.0.0-02-design.md","reference","meta","project","91.7","30","16.7","25","20"
"docs\explanation\deprecated-batch2-merge-report.md","reference","explanation","project","91.7","30","16.7","25","20"
"docs\explanation\ai-generate-audit-fix-loop.md","reference","explanation","qa","91.7","30","16.7","25","20"
"docs\reports\retrospectives\2026-07-09-jira-tasks.md","standard","reports","project","91","30","20","21","20"
"docs\reports\retrospectives\2026-07-09-p1-fix-technical-summary.md","standard","reports","project","91","30","20","21","20"
"docs\explanation\design\v6-v9界面设计html精读报告.md","standard","explanation","project","91","30","20","21","20"
"docs\explanation\design\tradereviewai-skill-testing.md","standard","explanation","qa","91","30","20","21","20"
"docs\explanation\design\v9-interaction-flows-review.md","standard","explanation","frontend","91","30","20","21","20"
"docs\00-meta\deprecated-docs\old-versions\deployment-v1.0.0.md","standard","meta","project","91","30","20","21","20"
"docs\reference\backtest-contract.md","standard","reference","qa","91","30","20","21","20"
"docs\00-meta\文档管理系统评分报告.md","standard","meta","project","91","30","20","25","16"
"docs\00-meta\文档理解核查报告.md","standard","meta","project","91","30","20","25","16"
"docs\explanation\design\v9-data-blueprint-task-tracking.md","standard","explanation","data","91","30","20","21","20"
"docs\reference\backtest-data-definition.md","standard","reference","data","91","30","20","21","20"
"docs\reference\changelogs\2026-07\2026-07-05-post-dev-review.md","standard","reference","project","91","30","20","21","20"
"docs\explanation\design\v9-architecture-data-diff-report.md","standard","explanation","architecture","91","30","20","21","20"
"docs\reports\audit\report-12-integration-baseline-comparison.md","standard","reports","qa","91","30","20","21","20"
"docs\explanation\design\test-expansion-design.md","standard","explanation","qa","91","30","20","21","20"
"docs\reports\audit\test-failure-analysis-report.md","standard","reports","qa","91","30","20","21","20"
"docs\explanation\design\deprecated-v9-parallel-task-schedule.md","standard","explanation","project","91","30","20","21","20"
"docs\reference\v9-architecture-data-dictionary-validation-report.md","standard","reference","architecture","91","30","20","21","20"
"docs\explanation\design\doc-update-report-20260701.md","standard","explanation","project","91","30","20","21","20"
"docs\reports\retrospectives\综合验证与定位分析报告-v2.0.0.md","standard","reports","project","91","30","20","21","20"
"docs\reports\retrospectives\mcp-disabled-server-deep-dive.md","standard","reports","ai","91","30","20","21","20"
"docs\reports\audit\脚本与测试质量检查报告.md","standard","reports","qa","91","30","20","21","20"
"docs\explanation\design\deprecated-cockpit-news-doc-correction-plan.md","standard","explanation","frontend","91","30","20","21","20"
"docs\reference\v9-code-quality-audit-report-20260629.md","standard","reference","qa","91","30","20","21","20"
"docs\explanation\design\refactor-impact-analysis-2026-06-27.md","standard","explanation","backend","91","30","20","21","20"
"docs\explanation\design\quality-assurance-strategy.md","standard","explanation","qa","91","30","20","21","20"
"docs\reports\retrospectives\2026-07-08-store-derived-documentation-analysis.md","standard","reports","data","91","30","20","21","20"
"docs\explanation\design\spacing-tokens.md","standard","explanation","frontend","91","30","20","21","20"
"docs\reports\retrospectives\mcp-architecture-remediation-plan-2026-07-08.md","standard","reports","architecture","91","30","20","21","20"
"docs\explanation\design\investment-pipeline-stage-analysis.md","standard","explanation","backend","91","30","20","21","20"
"docs\reference\changelogs\2026-07\2026-07-05-post-dev-review-actions.md","standard","reference","project","91","30","20","21","20"
"docs\reports\lessons-learned\token-consumption-analysis-2026-07-04.md","standard","reports","frontend","91","30","20","21","20"
"docs\reports\audit\code-quality-audit-report.md","standard","reports","qa","91","30","20","21","20"
"docs\reports\retrospectives\e2e-verify-25stocks-report.md","standard","reports","qa","91","30","20","21","20"
"docs\reports\audit\cockpit_widget_40错误核查-分析判断.md","standard","reports","qa","91","30","20","21","20"
"docs\reports\audit\cockpit_整体设计一致性审查.md","standard","reports","qa","91","30","20","21","20"
"docs\00-meta\lessons-architecture-review-2026-07-16.md","standard","meta","architecture","91","30","20","21","20"
"docs\how-to\testing\completeness-profile-batch2.md","standard","how-to","qa","91","30","20","21","20"
"docs\reference\changelogs\2026-07\2026-07-05-audit-false-positive-analysis.md","standard","reference","qa","91","30","20","21","20"
"docs\reports\retrospectives\data_link_sequence_diagram.md","standard","reports","data","91","30","20","21","20"
"docs\how-to\testing\complexity-remediation-plan.md","standard","how-to","qa","91","30","20","21","20"
"docs\reports\audit\2026-07-09-collection-plan-panel-v6-audit.md","standard","reports","qa","91","30","20","21","20"
"docs\reports\audit\2026-07-09-rm-audit-diff-report.md","standard","reports","qa","91","30","20","21","20"
"docs\reference\2026-07-01-v6-architecture-dominance-batch-a.md","standard","reference","architecture","91","30","20","21","20"
"docs\reference\2026-06-24-adopt-v6-core-resource-trading-strategy.md","standard","reference","backend","91","30","20","25","16"
"docs\reference\changelogs\2026-07\2026-07-05-comprehensive-audit-and-remediation.md","standard","reference","qa","91","30","20","21","20"
"docs\reports\audit\audit-hardcode-warning-distribution.md","standard","reports","qa","91","30","20","21","20"
"docs\reports\retrospectives\e2e-verify-redundancy-report.md","standard","reports","qa","91","30","20","21","20"
"docs\reports\audit\audit-batch-c-analysis.md","standard","reports","qa","91","30","20","21","20"
"docs\reports\audit\audit-findings-2026-07-05.md","standard","reports","qa","91","30","20","21","20"
"docs\00-meta\V9-PRE-LAUNCH-AUDIT-REPORT-20260713.md","standard","meta","qa","91","30","20","21","20"
"docs\reference\architecture-version-comparison.md","standard","reference","architecture","91","30","20","21","20"
"docs\reference\design-token-mapping.md","standard","reference","frontend","91","30","20","21","20"
"docs\explanation\design\双通道投研评分系统技术方案.md","standard","explanation","project","91","30","20","21","20"
"docs\explanation\design\weekly-tasks-2026-07-05.md","standard","explanation","project","91","30","20","21","20"
"docs\explanation\design\v9-post-dev-review.md","standard","explanation","project","91","30","20","21","20"
"docs\reference\audit-b4-4-security.md","standard","reference","qa","91","30","20","21","20"
"docs\reference\audit-b4-1-code-quality.md","standard","reference","qa","91","30","20","21","20"
"docs\reference\pr-description.md","standard","reference","project","91","30","20","25","16"
"docs\reference\网页测试检索校对纳入采集方案分析.md","standard","reference","project","91","30","20","25","16"
"docs\reports\audit\file-management-guide-test-report.md","standard","reports","qa","91","30","20","21","20"
"docs\00-meta\p1-13-code-to-doc-refs-fix-report.md","standard","meta","project","91","30","20","21","20"
"docs\reports\audit\error-handling-patch-report-2026-07-12.md","standard","reports","qa","91","30","20","21","20"
"docs\reports\retrospectives\complexity-optimization-plan.md","standard","reports","architecture","91","30","20","21","20"
"docs\00-meta\directory-audit-report-v1.4.3.md","standard","meta","qa","91","30","20","21","20"
"docs\reports\retrospectives\2026-07-09-store-derived-documentation-analysis.md","standard","reports","data","91","30","20","21","20"
"docs\00-meta\prompt-merge-dedup.md","standard","meta","ai","91","30","20","25","16"
"docs\reports\retrospectives\lessons-learned.md","standard","reports","project","91","30","20","21","20"
"docs\explanation\seven-dim-config-data-definition.md","standard","explanation","data","91","30","20","21","20"
"docs\explanation\complexity-governance.md","standard","explanation","architecture","91","30","20","21","20"
"docs\explanation\completeness-profile.md","standard","explanation","project","91","30","20","21","20"
"docs\explanation\complexity-remediation-plan.md","standard","explanation","architecture","91","30","20","21","20"
"docs\00-meta\doc-trigger-action-map.md","standard","meta","project","91","30","20","25","16"
"docs\explanation\双通道投研评分系统技术方案.md","standard","explanation","project","91","30","20","21","20"
"docs\explanation\song-aesthetics.md","standard","explanation","project","91","30","20","21","20"
"docs\explanation\design\08-implementation-plan.md","standard","explanation","project","91","30","20","21","20"
"docs\explanation\runbook.md","standard","explanation","project","91","30","20","21","20"
"docs\explanation\architecture-version-comparison.md","standard","explanation","architecture","91","30","20","21","20"
"docs\00-meta\document-archive-management.md","standard","meta","project","91","30","20","25","16"
