old_path,filename,size,last_modified,frontmatter_title,frontmatter_version,frontmatter_type,diataxis_category,target_path,cross_refs
00-meta/deprecated-docs/old-versions/REGISTRY_INDEX-v1.0.0-02-design.md,REGISTRY_INDEX-v1.0.0-02-design.md,30150,2026-07-14T08:28:18.255516,,,,explanation,docs/00-meta/REGISTRY_INDEX-v1.0.0-02-design.md,../01-requirements/completeness-profile-batch1.md; ../changelogs/变更摘要-2026-06-28-Phase0-数据层改造.md; ../reports/2026-07-09-store-derived-documentation-analysis.md; ../03-development/B批次组件集成测试报告_B6_2026-07-08.md; ../01-requirements/V9数据宪法.md; ../03-development/2026-06-25-v6-migration.md; ../changelogs/2026-07/2026-07-05-module-registry-and-integration.md; ../audit/代码清理待确认清单与信息孤岛整合建议.md; ../changelogs/2026-07/2026-07-05-p0-5-and-legacy-bugs-jira-tickets.md; ../01-requirements/data-collection-task-list.md; ../audit/v9-ui-component-feasibility-assessment.md; ../reports/hardcode-warning-root-cause-analysis.md; ../audit/output-cabin-remediation-report.md; ../04-testing/testing-strategy.md; ../reports/2026-07-08-store-derived-documentation-analysis.md; ../changelogs/2026-07/2026-07-05-comprehensive-audit-and-remediation.md; ../reports/脚本与测试质量检查报告.md; ../reports/2026-07-09-undocumented-files-report.md; ../reports/2026-07-08-documentation-summary-report.md; ../audit/比对分析报告检索与比对报告.md; ../reports/test-artifacts-cleanup-list.md; ../changelogs/2026-07/2026-07-05-color-refactor-p1.md; ../reports/2026-07-09-update-log.md; ../03-development/V9-TEST-CASES.md; ../04-testing/completeness-profile-batch2.md; ../changelogs/2026-07/2026-07-05-color-refactor-p2.md; ../audit/cockpit_整体设计一致性审查.md; ../01-requirements/2026-06-20-indexeddb-over-localstorage.md; ../reports/2026-07-08-undocumented-files-report.md; ../reports/2026-07-09-technical-sharing-ppt-outline.md; ../01-requirements/batchE-fix-plan.md; ../audit/模块补全验收报告.md; ../01-requirements/02-functional-specs.md; ../reports/batch-B-input-audit.md; ../changelogs/2026-07/2026-07-05-ui-testing-optimization.md; ../04-testing/a11y-contrast-report.md; ../changelogs/2026-07/2026-07-05-color-token-refactor.md; ../04-testing/task-graph-template.md; ../audit/代码质量整改与回归测试报告_2026-07-08.md; ../01-requirements/V9_L2状态层补齐路线图.md; ../reports/lessons-learned/latest.md; ../06-project-management/data_link_sequence_diagram.md; ../01-requirements/2026-07-01-v6-architecture-dominance-batch-a.md; ../03-development/chart-integration.md; ../reports/2026-07-09-email-body.md; ../reports/code-review-wip-2026-07-11.md; ../reports/mcp-architecture-remediation-plan-2026-07-08.md; ../01-requirements/v9-input-cabin-strategy-report.md; ../03-development/DEPRECATED_batch2-merge-report.md; ../03-development/jsdoc-convention.md; ../reports/audit-findings-2026-07-05.md; ../changelogs/2026-07/pr-7-trade-error-classifier-split-plan.md; ../reports/mcp-integration-test-report-2026-07-08-v2.md; ../01-requirements/fourth-industrial-revolution-core-resource-strategy.md; ../reports/monthly-2026-07.md; ../changelogs/2026-07/pr-8-dedup-audit-report.md; ../changelogs/2026-07/2026-07-05-audit-false-positive-analysis.md; ../03-development/v9-data-timeline.md; ../01-requirements/01-vision-and-goals.md; ../01-requirements/batchB-fix-plan.md; ../guides/mcp-acl-guide.md; ../01-requirements/stock-pool-board-migration-proposal.md; ../03-development/db-migration-v4-to-v6.md; ../01-requirements/pwa-offline-guide.md; ../reports/changelog-2026-07-04T06-45-59.md; ../reports/2026-07-09-remaining-p1-gaps-fix-plan.md; ../01-requirements/action-list.md; ../reports/2026-07-09-rm-audit-diff-report.md; ../changelogs/2026-07/completeness-profile-p1.md; ../reports/v2.2.1-test-coverage-comparison.md; ../01-requirements/walkthrough-scoredoc-report.md; ../01-requirements/RM剩余任务全量盘点与整改方案_2026-07-08.md; ../03-development/DEPRECATED_v9-issue-resolution-schedule.md; ../reports/token-optimization-best-practices.md; ../changelogs/2026-07/action-list-p1.md; ../03-development/2026-06-24-input-cabin-subpages.md; ../04-testing/feature-entry-list.md; ../reports/code-quality-report-2026-07-06.md; ../03-development/audit-b4-4-security.md; ../01-requirements/audit-b4-1-code-quality.md; ../reports/2026-07-09-jira-tasks.md; ../01-requirements/autonomous-workflow-user-guide.md; ../changelogs/2026-07/2026-07-05-databridge-query-implementation.md; ../architecture/architecture-version-comparison; ../reports/2026-07-09-p0-todo-list.md; ../reports/2026-07-09-p1-fix-technical-summary.md; ../03-development/v9-rectification-tasks-v15-v16.md; ../reports/knowledge-graph-token-optimization-report.md; ../reports/mcp-architecture-audit-report-2026-07-08.md; ../reports/audit-batch-C-analysis.md; ../changelogs/2026-07/2026-07-05-p2-completion-and-backlog.md; ../changelogs/2026-07/2026-07-05-systematic-doc-update.md; ../reports/design-tokens-implementation-report.md; ../01-requirements/DEPRECATED_ui-module-alignment.md; ../01-requirements/completeness-profile-batch5.md; ../reports/test-coverage-comparison-v2.2.1.md; ../audit/code-quality-audit-report.md; ../03-development/ui-migration-checklist.md; ../03-development/2026-06-23-portalshell-dark-kimi-layout.md; ../changelogs/2026-07/test-cache-fix-summary.md; ../03-development/AI_CENTER_VUE3_EXAMPLES.md; ../03-development/pending-tasks-inventory-20260701.md; ../architecture/component-deprecation-policy; ../03-development/2026-06-29-data-relationship-blueprint.md; ../audit/debug-output-cabin-not-rendering.md; ../audit/untracked-files-remediation-report.md; ../03-development/weekly-check-2026-06-30.md; ../reports/2026-07-09-p0-p1-fix-code-plan.md; ../audit/cockpit_widget_40错误核查-分析判断.md; ../01-requirements/agent-runtime-spec.md; ../reports/refactoring-plan-2026-07-04.md; ../01-requirements/automation-test-plan.md; ../reports/2026-07-09-route-registration-gap-report.md; ../audit/report-12-integration-baseline-comparison.md; ../01-requirements/《DataBridge改进建议整改实施计划》.md; ../changelogs/2026-07/2026-07-05-post-dev-review.md; ../reports/token-consumption-analysis-2026-07-04.md; ../reports/2026-07-09-four-category-problem-analysis.md; ../audit/代码质量合规审查报告_2026-07-08.md; ../03-development/audit-b4-2-test-quality.md; ../01-requirements/batchD-fix-plan.md; ../03-development/v6-to-v9-migration-spec.md; ../reports/audit-hardcode-warning-distribution.md; ../reports/2026-07-08-document-update-report.md; ../03-development/complexity-governance.md; ../reports/mcp-acl-fix-plan-2026-07-08.md; ../05-deployment/2026-06-21-hashrouter-for-static-hosting.md; ../03-development/completeness-profile-batch3.md; ../03-development/quality-gates-baseline.md; ../03-development/a11y-checklist.md; ../01-requirements/03-architecture-standards.md; ../audit/v6-v9-ui-component-comparison-report.md; ../audit/V9 架构缺陷与整改行动清单.md; ../audit/文档-代码双向一致性检测报告_2026-07-08.md; ../01-requirements/v9-code-quality-audit-report-20260629.md; ../03-development/2026-07-05-exception-handling-test-report.md; ../03-development/《V9 目标功能清单》.md; ../01-requirements/2026-06-24-adopt-v6-core-resource-trading-strategy.md; ../04-testing/B批次高价值孤儿集成状态报告_2026-07-08.md; ../01-requirements/v6pro-to-v9-migration-analysis.md; ../reports/test-failure-analysis-report.md; ../03-development/feedback-loop-spec.md; ../04-testing/v9-issue-management.md; ../audit/report-6-remediation-action-list.md; ../changelogs/2026-07/pr-8-dedup-plan.md; ../changelogs/2026-07/pr-5-build-optimization-summary.md; ../01-requirements/rotation-score-spec.md; ../reports/type-error-diagnosis-report.md; ../03-development/RBAC整合可行性分析与实施计划_2026-07-08.md; ../01-requirements/《DataBridge端点与数据映射清单》.md; ../01-requirements/CODE-REVIEW.md; ../03-development/performance-baseline.md; ../reports/T11-compliance-audit-report.md; ../01-requirements/README.md; ../architecture/v10-architecture-alignment; ../audit/code-quality-rubric.md; ../changelogs/2026-07/2026-07-05-post-dev-review-actions.md; ../reports/2026-07-09-collection-plan-panel-v6-audit.md; ../01-requirements/completeness-profile.md; ../03-development/factor-tracking-roadmap.md; ../reports/lessons-learned/lessons-learned-2026-07-12.md; ../03-development/v9-data-relationship-er.md; ../reports/2026-07-05-document-update-report.md; ../reports/2026-07-08-undocumented-files-jsdoc-templates.md; ../audit/TypeScript错误处理和类型安全检测报告.md; ../03-development/dataflow-engine-spec.md; ../06-project-management/2026-06-21-databridge-over-direct-datalayer.md; ../04-testing/databridge-split-plan.md; ../reports/full-audit-inventory-2026-07-05.md; ../reports/2026-07-09-p1-gaps-fix-technical-review.md; ../03-development/2026-06-24-pool-screening-signal-persistence-review-engine.md; ../07-archive/DEPRECATED_v9-issue-execution-board.md; ../01-requirements/v9-system-blueprint.md; ../01-requirements/cockpit-news-doc-fix-plan.md
00-meta/deprecated-docs/old-versions/regression-suite-v1.0.0.md,regression-suite-v1.0.0.md,2270,2026-07-14T08:28:18.256527,,,,explanation,docs/00-meta/regression-suite-v1.0.0.md,
01-requirements/01-vision-and-goals.md,01-vision-and-goals.md,2459,2026-07-13T22:53:54.794773,,,,explanation,docs/explanation/01-vision-and-goals.md,
01-requirements/02-functional-specs.md,02-functional-specs.md,19486,2026-07-13T22:53:54.794773,,,,reference,docs/reference/02-functional-specs.md,
01-requirements/03-architecture-standards.md,03-architecture-standards.md,69693,2026-07-14T08:28:18.261982,,,,explanation,docs/explanation/03-architecture-standards.md,
01-requirements/action-list.md,action-list.md,13497,2026-07-14T08:28:18.265619,V9 五层追溯审计 — 修复行动清单,v2.0.0,,explanation,docs/explanation/action-list.md,
01-requirements/completeness-profile-batch1.md,completeness-profile-batch1.md,12937,2026-07-14T08:28:18.265619,V9 模块完成度剖面图 — 批次 1,v2.0.0,,reference,docs/reference/completeness-profile-batch1.md,
01-requirements/completeness-profile-batch4.md,completeness-profile-batch4.md,6397,2026-07-13T22:53:54.796807,V9 模块完成度剖面图 — 批次 D（交易舱）,v1.0.0,,explanation,docs/explanation/completeness-profile-batch4.md,
01-requirements/completeness-profile-batch5.md,completeness-profile-batch5.md,6585,2026-07-13T22:53:54.796807,V9 模块完成度逆向校验 — 批次 E（输出舱 + 总控舱）完成度剖面图,v1.0.0,,explanation,docs/explanation/completeness-profile-batch5.md,
01-requirements/completeness-profile.md,completeness-profile.md,16540,2026-07-13T22:53:54.797505,V9 模块完成度剖面图 — 全量汇总,v7.0.0,,explanation,docs/explanation/completeness-profile.md,
01-requirements/FILE-MANAGEMENT-GUIDE.md,FILE-MANAGEMENT-GUIDE.md,15996,2026-07-14T08:28:18.261982,,,,how-to,docs/how-to/FILE-MANAGEMENT-GUIDE.md,../../AGENTS.md; ../00-meta/trae-file-management-review.md; ./README.md
01-requirements/fourth-industrial-revolution-core-resource-strategy.md,fourth-industrial-revolution-core-resource-strategy.md,17988,2026-07-14T08:28:18.265619,第四次工业革命稀缺核心资源 — 交易策略解析与 V9 采用方案,v0.9.0,,explanation,docs/explanation/fourth-industrial-revolution-core-resource-strategy.md,
01-requirements/overview.md,overview.md,7964,2026-07-14T08:28:18.265619,,,,explanation,docs/explanation/overview.md,
01-requirements/README.md,README.md,7682,2026-07-13T22:53:54.798510,,,,reference,docs/reference/README.md,./01-vision-and-goals.md; ../02-design/standards/quality-gates/09-quality-gates.md; ../02-design/services/06-routing-specs.md; ../standards/ai-center-data-definition.md; ../03-development/migration/v6-to-v9-migration-spec.md; ../02-design/standards/implementation-governance.md; ../02-design/cabins/input-cabin-ui-reshaping.md; ../02-design/standards/design-tokens/04-ui-ux-specs.md; ../02-design/standards/07-operation-strategy.md; ../02-design/cabins/investment-pipeline-stage-analysis.md; ../02-design/data-layer/data-interaction-protocols.md; ../reports/changelogs/CHANGELOG.md; ../standards/DATA_DEFINITION.md; ../02-design/cockpit/v6-cockpit-ui-reference.md; ../02-design/standards/10-glossary.md; ../02-design/cabins/trading-core-factors.md; ./02-functional-specs.md; ../02-design/standards/08-implementation-plan.md; ../02-design/services/05-engine-specs.md; ./03-architecture-standards.md; ../02-design/data-layer/factor-tracking-roadmap.md; ../02-design/cabins/input-cabin-spec.md; ../02-design/services/API_CONTRACT.md
01-requirements/RM剩余任务全量盘点与整改方案_2026-07-08.md,RM剩余任务全量盘点与整改方案_2026-07-08.md,23717,2026-07-14T08:28:18.261982,,,,reference,docs/reference/RM剩余任务全量盘点与整改方案_2026-07-08.md,
01-requirements/v9-input-cabin-strategy-report.md,v9-input-cabin-strategy-report.md,15179,2026-07-14T08:28:18.265619,V9 输入舱升级策略报告,v0.9.0,,explanation,docs/explanation/v9-input-cabin-strategy-report.md,
01-requirements/v9-system-blueprint.md,v9-system-blueprint.md,24042,2026-07-13T22:53:54.800519,V9 智能投研复盘系统 — 整体架构蓝图,v0.9.0-doc-sync-batch2,,reference,docs/reference/v9-system-blueprint.md,
