old_path,filename,size,last_modified,script_type,target_subdir,package_json_registered,dependencies,description
replace-date-now-ids.ts,replace-date-now-ids.ts,8455,2026-07-07T21:53:57.182388,other,other,true,nanoid,!/usr/bin/env tsx
rotate-ark-api-key.ps1,rotate-ark-api-key.ps1,4434,2026-07-07T21:53:57.184982,other,other,false,,requires -Version 5.1
run-with-log.ts,run-with-log.ts,1328,2026-07-13T09:22:37.637645,other,other,false,node:path; node:child_process; node:url; node:fs,
run_browser_test.ps1,run_browser_test.ps1,248,2026-06-27T22:31:58.636768,other,other,false,,
scaffold-widget.ts,scaffold-widget.ts,8921,2026-07-13T00:53:01.639432,other,other,true,child_process; react,
semantic-validation.ts,semantic-validation.ts,14901,2026-07-13T13:55:10.056962,other,other,true,node:path; node:child_process; node:url; node:fs,!/usr/bin/env tsx
split-constants.ts,split-constants.ts,15991,2026-07-07T21:53:57.186052,other,other,true,url,
stress-test-realtime-quotes.sh,stress-test-realtime-quotes.sh,6526,2026-07-13T00:58:23.276130,test,test-tool,false,,!/bin/bash
stress-test-runner.ts,stress-test-runner.ts,13430,2026-07-14T00:15:34.904920,test,test-tool,false,perf_hooks,
sync-doc-categories.ts,sync-doc-categories.ts,8499,2026-07-14T00:24:46.382437,doc,docs-tool,true,fs; path; url,
system-check-loop.ts,system-check-loop.ts,16329,2026-07-12T14:39:33.825304,monitor,monitor,true,node:path; node:child_process; node:url; node:fs,!/usr/bin/env node
system-health-dashboard.ts,system-health-dashboard.ts,29699,2026-07-12T14:39:33.841079,monitor,monitor,true,node:path; node:child_process; node:url; node:fs,!/usr/bin/env node
test-hybrid-proofread.ts,test-hybrid-proofread.ts,9284,2026-07-09T17:48:45.207874,test,test-tool,true,url,
test-news-v6.cjs,test-news-v6.cjs,2164,2026-06-25T23:35:47.719992,test,test-tool,true,playwright,
test-stock-color-debug.ts,test-stock-color-debug.ts,2118,2026-07-07T21:53:57.188051,test,test-tool,true,jsdom,
test_browser.py,test_browser.py,12083,2026-07-04T17:42:02.844879,test,test-tool,false,,
test_connectivity.py,test_connectivity.py,661,2026-07-04T17:40:54.330445,test,test-tool,false,,
test_diag.py,test_diag.py,1233,2026-07-04T17:45:25.486217,test,test-tool,false,,
test_file.py,test_file.py,2913,2026-07-04T17:49:42.612148,test,test-tool,false,,
token-debug-hex.cjs,token-debug-hex.cjs,1473,2026-07-10T08:36:04.215351,other,other,true,fs; path,
token-debug-size.cjs,token-debug-size.cjs,648,2026-07-10T08:35:43.160879,other,other,true,fs; path,
token-debug.cjs,token-debug.cjs,1368,2026-07-10T08:35:26.115481,other,other,true,fs; path,
token-scan.cjs,token-scan.cjs,12982,2026-07-09T11:23:25.918722,other,other,true,fs; path,!/usr/bin/env node
translate-test-descriptions.ts,translate-test-descriptions.ts,18559,2026-07-09T10:58:24.753234,test,test-tool,true,glob; fs/promises,
validate-acl-impact.ts,validate-acl-impact.ts,6200,2026-07-08T18:06:17.631067,security,security,true,node:path; node:fs,!/usr/bin/env tsx
validate-data-blueprint.ts,validate-data-blueprint.ts,3326,2026-07-13T22:08:17.989949,other,other,true,,!/usr/bin/env tsx
validate-data-consistency.ts,validate-data-consistency.ts,26511,2026-07-13T14:42:59.115008,other,other,true,node:url,!/usr/bin/env tsx
validate-json.ts,validate-json.ts,11067,2026-07-08T18:10:09.597190,other,other,true,,!/usr/bin/env tsx
verify-all-routes.ts,verify-all-routes.ts,14369,2026-07-14T08:28:18.319038,verify,verify,true,node:url,!/usr/bin/env tsx
verify-design-tokens.ts,verify-design-tokens.ts,5805,2026-07-13T15:50:08.088864,verify,verify,true,node:path; node:url; node:fs,!/usr/bin/env node
verify-m1.ts,verify-m1.ts,10930,2026-07-13T09:22:37.637645,verify,verify,false,,
verify-m2-m3.ts,verify-m2-m3.ts,10858,2026-07-13T09:22:37.637645,verify,verify,false,,
verify-pipeline-output.ts,verify-pipeline-output.ts,19521,2026-07-07T07:49:35.186057,verify,verify,true,node:child_process; node:url,!/usr/bin/env tsx
verify-tools.ts,verify-tools.ts,4506,2026-07-13T16:08:37.498081,verify,verify,false,,
workflow-rule-engine.ts,workflow-rule-engine.ts,16782,2026-07-08T18:10:09.600991,other,other,true,node:path; node:child_process; node:fs,!/usr/bin/env node
_audit-pipeline.ts,_audit-pipeline.ts,9507,2026-07-13T21:10:54.759612,debug,_debug,true,node:url,
_verify-pipeline-child.ts,_verify-pipeline-child.ts,3478,2026-07-13T18:39:41.022648,debug,_debug,true,,!/usr/bin/env tsx
